Terminator Genisys,165308929,130973608,493760840,61720105,8,164700,18735,23,288,99,469907735
The Chronicles of Narnia: The Voyage of the Dawn Treader,179802440,289796069.6,151284384,6303516,24,15834,656,27,15,20,482202554
Pearl Harbor,199744787,178154353,36279581,2134093,17,4911,281,109,1045,287,640925299
Transformers,182770265,357931986.9,21580010,2158001,10,26633,2507,119,10710,3160,864758962
Alexander,207175946,74778541.62,41463263,2182277,19,4978,262,82,190,84,223613943
Harry Potter and the Order of the Phoenix,182770265,496610934.3,61123769,1421483,43,7468,171,97,629,133,1143182603
Harry Potter and the Goblet of Fire,193900243,539896445.4,58914562,1202338,49,8852,179,107,2641,981,1158128709
Hancock,176079253,163469514.2,20317880,1015894,20,2784,134,81,2436,309,732524170
I Am Legend,182770265,162893526.9,367535588,13126271,28,50756,1797,120,5012,1341,713229290
Charlie and the Chocolate Factory,193900243,144082876.9,32831472,2735956,12,8407,684,94,474,41,613977056
Ratatouille,182770265,400256408,28753382,4107626,7,6410,817,118,7852,1752,759986563
Batman Begins,193900243,132629268,581767965,11407215,51,68378,1316,61,288,68,483740610
Madagascar: Escape 2 Africa,176079253,416515207.4,34423084,8605771,4,9285,2252,76,54,35,708895488
Night at the Museum: Battle of the Smithsonian,176786399,212073430.3,1910046,318341,6,1107,182,31,18,6,486877014
X-Men Origins: Wolverine,176786399,139586136.9,4960115,992023,5,5073,875,111,1106,337,439682935
The Matrix Revolutions,205906158,435712451.3,15125352,687516,22,2066,90,91,350,106,583384598
Frozen,162698541,286279499,1840496568,108264504,17,1496296,84096,119,3476,527,1382090493
The Matrix Reloaded,205906158,215047178.3,21939631,953897,23,2918,122,93,1151,272,1013881511
Thor: The Dark World,184391680,187090736.7,584338794,22474569,26,83711,3122,71,1990,436,699138846
Mad Max: Fury Road,159976383,96354593.13,1043392942,54915418,19,182342,9503,65,3389,3374,404055913
Angels & Demons,176786399,126437346.1,124295703,5918843,21,48080,2213,103,317,269,420296037
Thor,168606939,234475344.2,2188630941,95157867,23,754719,32419,118,12176,2639,505063904
Bolt,176079253,154122922.1,11136293,1590899,7,1808,236,108,670,163,363873639
G-Force,176786399,144772202.3,16698987,1855443,9,2137,237,61,2621,1047,345108077
Wrath of the Titans,165139019,282237857.1,270651696,15920688,17,28602,1626,118,396,171,331378966
Dark Shadows,165139019,200997572.6,30600800,1530040,20,9952,479,106,1890,450,270307417
Mission: Impossible - Rogue Nation,159976383,137194422.2,585455352,24393973,24,56137,2316,118,938,271,727711385
Bee Movie,182770265,202301420.4,14195640,4731880,3,8536,2427,45,56,11,350424913
Kung Fu Panda 2,168606939,314788148.3,44424432,2776527,16,5295,328,109,527,230,748268918
The Last Airbender,174002361,295568962.3,28961163,9653721,3,12736,3548,119,877,202,369468404
Mission: Impossible III,187887832,214334088.7,30960538,1629502,19,1715,87,118,218,63,498341175
White House Down,162698541,171266394.8,101686185,11298465,9,9309,981,106,2217,942,222752457
Mars Needs Moms,168606939,238021907.2,3873432,1291144,3,2079,691,120,318,266,43829664
Flushed Away,186635246,164213311.6,11030920,2206184,5,4202,777,115,667,210,80740808
Pan,159976383,179064957.5,237854472,19821206,12,64125,4960,117,963,268,136927327
Mr. Peabody & Sherman,154798481,329291545.1,10414230,2082846,5,11420,2251,48,19,7,291354687
Troy,233908326,249701016.7,6435054,3217527,2,13642,5536,106,3971,1134,664847462
Madagascar 3: Europe's Most Wanted,159634385,238838901.5,69867928,8733491,8,16665,1968,71,21,11,822305645
Die Another Day,196599200,256697475.1,3297637,471091,7,1113,141,115,2077,611,606608397
Ghostbusters,151606444,101115304.2,0,45442251,0,313321,1120896,112,5692,2905,241251660
Men in Black II,196599200,182730370.8,104287335,20857467,5,300964,55547,105,110,47,620437307
Beowulf,85292790,305011214.4,11075952,1384494,8,2310,284,116,2255,578,238497986
Kung Fu Panda 3,152659267,285179892.4,717849756,39880542,18,128963,6944,118,7048,3973,548700385
Mission: Impossible - Ghost Protocol,162986707,191915505.9,38656744,1680728,23,4695,204,119,853,244,780889976
Rise of the Guardians,159634385,202428154.4,291347406,15334074,19,57865,2910,118,17251,5391,337920309
Fun with Dick and Jane,129266828,108233366.9,2218563,246507,9,1142,122,100,262,54,261152748
The Last Samurai,192179081,94473377.8,34358935,1808365,19,3595,189,100,2059,704,626996579
Exodus: Gods and Kings,149460602,189594573.5,158781664,19847708,8,41473,4782,119,1771,2702,286144274
Star Trek,176786399,157535080.3,17698440,1474870,12,4346,353,120,20982,3686,454553714
Spider-Man,195194920,305718419.6,1940400936,53900026,36,1417971,38446,101,20670,7634,1153908881
How to Train Your Dragon 2,154798481,276563575.2,55890809,4299293,13,31654,2264,118,5389,1776,650284983
Gods of Egypt,147395154,116284531.8,110979320,27744830,4,78895,17697,25,10,0,158640208
Stealth,174510218,140835366.7,9377039,1339577,7,5891,783,118,2891,949,99448775
Watchmen,153214879,138978671.2,25226223,2293293,11,4579,393,115,25047,6965,218341789
Hulk,188060958,231073458.4,60287968,7535996,8,17427,2052,104,6782,1859,336808225
G.I. Joe: Retaliation,141005402,190506545.2,90116420,4505821,20,9431,462,113,998,497,403358186
Sahara,168046877,109598176,7116065,1423213,5,520,87,103,2281,548,154175882
Final Fantasy: The Spirits Within,195464541,124448384.8,11462267,674251,17,1111,62,59,499,73,121461709
Captain America: The First Avenger,157366476,204127139.2,377461504,11795672,32,40583,1244,118,1676,574,416537568
Master and Commander: The Far Side of the World,205906158,178839376.5,12130656,758166,16,1045,63,49,174,61,291029289
The Twilight Saga: Breaking Dawn - Part 2,132111216,232208597.6,236085336,39347556,6,100724,15403,18,37,20,912668314
Happy Feet Two,146126014,271923082.3,51867186,8644531,6,10459,1646,109,1523,359,169063825
The Incredible Hulk,176079253,113603089.3,51353464,6419183,8,15483,1859,120,3118,611,192175331
The BFG,147395154,138382111.9,450331190,26490070,17,105423,5913,110,2229,532,193030367
The Revenant,143978745,90237736.05,1408366521,52161723,27,138218,5118,114,1852,316,568396626
Turbo,146428687,211921268.4,50982640,10196528,5,20917,3930,117,781,190,306492252
Rango,151746245,213350922.7,148943275,11457175,13,15213,1136,119,1802,468,276205821
Penguins of Madagascar,140919996,354140566.3,114046220,11404622,10,30801,2977,119,11855,7200,398795149
The Bourne Ultimatum,85292790,156947148.2,52229628,2374074,22,2679,120,117,756,304,539567233
Kung Fu Panda,152602019,209008269.7,14942985,2988597,5,8684,1625,118,25205,3867,741580735
Ant-Man,138646199,178898474.1,1881398365,53754239,35,602750,16820,120,26093,7493,553850999
The Hunger Games: Catching Fire,141005402,276052737.3,2056803630,48971515,42,270316,6393,97,169,40,919163730
Home,143978745,231283320.7,414598107,21820953,19,168745,8758,118,21873,6305,393404330
War of the Worlds,170632214,212456685,36244034,2132002,17,10734,597,119,7863,837,764922728
Bad Boys II,178452004,205457227.3,62678925,2507157,25,26637,1057,113,737,262,375215318
Puss in Boots,146126014,240849452,69488240,6948824,10,14373,1408,25,17,2,623831597
Salt,127601731,106224283.8,128698830,8579922,15,10131,638,97,3716,617,340266341
Noah,133446966,165296147.2,174679680,17467968,10,60320,5984,105,1932,360,387142965
The Adventures of Tintin,146126014,222412567,25745650,1838975,14,5417,362,117,614,157,418077845
