name, views1, likes1, dislikes1, views2, likes2, dislikes2, views3, likes3, dislikes3
The Kid,703013,9438,312,997707,7448,327,610073,6127,188
World Trade Center,355748,1055,46,6027615,30796,1947,-1,1089,133
Mona Lisa Smile,1133579,13012,99,161652,193,10,209699,1527,29
The Dictator,20447389,51959,3382,1505522,3917,165,12975159,58738,7088
Annie,758071,1777,147,2965509,9326,1149,-1,9524,1683
Focus,25185443,53171,3389,2797716,4204,366,-1,1013,254
This Means War,2841906,7001,289,35646,85,8,-1,526,123
Blade: Trinity,183423,588,43,8760,29,2,-1,508,116
Resident Evil: Retribution,6043109,20170,1318,11244298,42548,3289,4529242,11234,1584
Death Race,1348915,2435,113,1915471,6330,677,87664,293,42
Proof of Life,153584,237,32,12769,12,2,-1,50,13
Zathura: A Space Adventure,2532160,,,95518,212,20,-1,746,123
We Are Marshall,262740,775,19,356750,951,26,-1,239,71
Lucky Numbers,31074,40,3,29664,,,-1,15,2
I, Frankenstein,2322447,2586,563,220846,,,85917,500,14
Oliver Twist,406847,778,57,217217,589,43,-1,125,20
Elektra,904598,1323,125,180055,565,39,66378,486,35
Sin City: A Dame to Kill For,434977,789,34,5692840,19408,698,-1,167,61
Everest,6141794,15427,776,4933005,12141,481,1124446,2249,177
Perfume: The Story of a Murderer,204008,1360,42,2040709,,,-1,853,163
Austin Powers in Goldmember,-1,474,32,2100,18,0,-1,525,193
Astro Boy,679558,1287,115,72424,213,20,77115,130,17
天將雄師,25493,33,2,97976,54,21,1670,1,0
Little Man,3651264,,,3933163,12581,1694,-1,4619,904
U-571,327875,267,28,837048,536,152,-1,,
The Love Guru,1420296,2199,436,160366,,,-1,199,82
3000 Miles to Graceland,54230,185,10,9900,47,7,24285,21,1
The Hateful Eight,4751682,19922,744,2065681,4505,223,231086,637,21
Blades of Glory,520985,,,12516,18,7,9210,13,4
Hop,595418,927,116,1169102,,,479723,947,117
300,4157830,14090,748,32128545,99501,4533,85026,299,19
Meet the Fockers,239080,,,151363,302,29,-1,300,114
Marley & Me,-1,-1,-1,1323749,32095,375,833372,32210,492
Wild Hogs,1481150,1953,107,12629,31,1,198796,,
Chicken Little,183543,383,48,232705,,,134907,233,31
Gone Girl,3308611,5240,159,520330,1731,71,-1,1458,501
The Bourne Identity,1134179,1674,106,40905,71,7,890803,2648,399
Daddy Day Care,614220,885,68,82009,90,22,-1,867,168
2 Guns,1187920,2466,99,420564,805,41,21817,,
Cats & Dogs,88414410,354908,69806,92308807,272607,107664,-1,1748,490
The Italian Job,2077239,,,21443,107,5,-1,282,77
Two Weeks Notice,2782797,8404,174,-1,60,20,-1,145,23
Couples Retreat,2199929,6710,214,90162,94,12,150138,,
Cheaper by the Dozen 2,452705,902,45,220431,,,58224,115,7
Maze Runner: The Scorch Trials,14167286,55472,1325,11916550,75518,1410,2110,14,1
Eat Pray Love,5368103,9510,542,745006,903,56,-1,679,60
The Family Man,296845,635,27,5059458,23061,1139,-1,369,69
RED,14177560,208059,2499,904322,1706,110,3573044,7254,385
Collateral,462980,510,26,463690,2435,189,-1,319,44
The Scorpion King,547099,668,55,1565012,606,775,-1,425,137
Ladder 49,206659,374,12,475450,675,25,82047,127,14
Jack Reacher,1550690,3718,189,11203357,39650,1203,-1,1239,218
Michael Jackson's This Is It,2409472,15662,310,2912575,9374,1219,-1,4697,230
Contagion,8833102,13271,1153,39494,115,6,27251,159,18
Kangaroo Jack,298482,567,64,434628,2036,103,-1,334,110
Coraline,251845,954,40,463845,685,34,655417,38162,574
The Happening,855315,2188,168,2191042,3211,380,4638830,66773,747
Man on Fire,745718,,,207274,611,25,84790,81,12
The Shaggy Dog,270754,764,86,116056,,,-1,,
Starsky & Hutch,16512117,112690,1823,1021804,11074,218,815927,9089,336
Hellboy,8443587,125560,9559,9563072,94755,36176,-1,611,99
ParaNorman,3324050,7502,504,129978,191,17,-1,1699,421
Paycheck,174734,,,318172,,,375775,260,28
The Tale of Despereaux,311816,,,119546,294,10,67198,357,28
The Tuxedo,343783,,,15601,44,4,-1,195,63
Jack Ryan: Shadow Recruit,4546685,6957,474,16815389,15487,1351,-1,383,141
Joy,8489880,19528,1465,9238935,19811,2595,288460,2904,149
London Has Fallen,13746737,37574,3321,415384,2321,109,1386852,6323,832
Shooter,836069,,,1701130,2444,3137,-1,845,266
The Boxtrolls,3121329,5391,476,360116,2771,133,-1,1705,602
The Lego Movie,32762388,108176,7010,11732950,61288,2333,5363535,56918,2108
Miss Congeniality 2: Armed and Fabulous,560680,1332,59,31801,69,6,-1,220,75
Reign of Fire,1648819,1635,109,66192,114,21,-1,,
Gangster Squad,1013126,2024,61,874436,4523,89,489034,1420,43
Year One,944493,1621,124,82281,72,15,29500,36,4
Invictus,1767100,3127,124,74915,,,-1,221,24
State of Play,291814,323,37,57934,54,9,-1,94,10
Duplicity,113468,182,18,14901,15,0,246917,514,32
The Sentinel,469651,434,41,66216,417,10,16469,,
Planet 51,709998,1315,153,787200,1075,109,17293,85,5
Star Trek: Nemesis,173064,311,18,22867,52,2,-1,104,19
Intolerable Cruelty,255487,358,30,36838,,,-1,,
Trouble with the Curve,1863502,4719,91,10509190,30752,2017,-1,235,44
Edge of Darkness,1590510,1401,98,93230,173,5,-1,63,27
Analyze That,206245,400,19,210565,691,17,-1,61,24
Righteous Kill,234358,,,33091,32,4,135624,129,6
The Soloist,368214,,,68070,173,8,5639,9,2
The Legend of Bagger Vance,235796,,,303311,228,9,-1,147,24
Almost Famous,701841,,,12760,141,5,2372053,12212,306
Garfield: A Tail of Two Kitties,211178,414,41,141182,119,20,-1,459,217
xXx: State of the Union,107746,382,35,19757,26,7,-1,321,66
Priest,2835865,4270,409,531719,,,-1,264,34
Sinbad: Legend of the Seven Seas,574741,,,8065,23,0,16603,23,0
Dragonfly,61615,181,12,917258,1358,82,929239,1571,117
The Black Dahlia,122422,426,16,414551,1266,54,-1,156,48
Flyboys,663127,1639,68,154977,184,14,-1,95,11
The Last Castle,580209,,,156772,357,25,-1,180,50
Supernova,298128,282,110,1031123,4594,228,-1,23,8
Winter's Tale,4657250,9924,437,657280,1906,71,769511,917,41
The Mortal Instruments: City of Bones,7836688,46271,1203,6637471,30333,1066,313503,,
Meet Dave,170433,375,30,2935,9,0,18654,81,12
Dark Water,692828,1462,88,98512,254,13,-1,,
Inkheart,358058,1229,61,66620,262,12,273857,271,19
The Spirit,404646,540,98,463109,730,140,39403,87,20
Mortdecai,4726792,10429,572,4336161,14455,516,647643,2610,131
In the Name of the King: A Dungeon Siege Tale,374306,358,155,14231,55,5,1465440,1288,685
Beyond Borders,467061,634,37,67535,177,12,-1,39,6
西游记之孙悟空三打白骨精,183949,161,38,45092,35,3,-1,134,33
The Great Raid,188841,206,16,54726,135,8,56525,,
Deadpool,19033652,135700,2576,42877769,563993,13598,-1,20091,2471
American Sniper,16056348,44931,4383,4527437,14202,660,-1,6282,1092
Goosebumps,16837235,47331,4021,6157255,32106,2318,2812937,12526,522
Just Like Heaven,233869,,,153578,355,10,-1,196,32
The Flintstones in Viva Rock Vegas,249878,672,67,26355,31,3,-1,191,45
Leatherheads,57568,133,8,26536,,,1638412,8976,493
The Ridiculous 6,8570233,18117,6663,6870443,78425,2233,501426,697,85
Did You Hear About the Morgans?,650374,1456,58,274866,289,26,-1,73,8
The Internship,5371174,12157,645,648734,1884,80,1409647,12681,117
Resident Evil: Afterlife,21164957,31021,3365,505255,937,64,33330,229,10
Red Tails,9801892,27527,2159,227204,960,37,340919,726,45
That's My Boy,147964,673,28,91172,228,16,83897,2325,502
After the Sunset,676821,511,52,2837,,,-1,34,8
Ghost Rider: Spirit of Vengeance,1181995,4084,208,1054196,2913,156,-1,2274,293
Captain Corelli's Mandolin,131831,382,26,4845,58,0,-1,34,11
The Pacifier,1522839,,,54529,98,6,660651,2660,260
Walking Tall,518486,821,43,57285,76,6,-1,368,85
Alvin and the Chipmunks,363747,731,77,295138,376,56,-1,7553,2688
